trip_id,start_time,end_time,headway_secs
relation/4514819_sunday,06:00:00,19:00:00,1800
relation/4516346_weekday_peak1,05:00:00,08:30:00,300
relation/4516346_weekday_offpeak,08:30:00,15:00:00,900
relation/4516346_weekday_peak2,15:00:00,21:00:00,300
relation/4516346_saturday,05:00:00,19:00:00,1800
relation/4516346_sunday,06:00:00,19:00:00,1800
relation/4516347_weekday_peak1,05:00:00,08:30:00,300
relation/4516347_weekday_offpeak,08:30:00,15:00:00,900
relation/4516347_weekday_peak2,15:00:00,21:00:00,300
relation/4516347_saturday,05:00:00,19:00:00,1800
relation/4516347_sunday,06:00:00,19:00:00,1800
relation/4516469_weekday_peak1,05:00:00,08:30:00,300
relation/4516469_weekday_offpeak,08:30:00,15:00:00,900
relation/4516469_weekday_peak2,15:00:00,21:00:00,300
relation/4516469_saturday,05:00:00,19:00:00,1800
relation/4516469_sunday,06:00:00,19:00:00,1800
relation/4517007_weekday_peak1,05:00:00,08:30:00,300
relation/4517007_weekday_offpeak,08:30:00,15:00:00,900
relation/4517007_weekday_peak2,15:00:00,21:00:00,300
relation/4517007_saturday,05:00:00,19:00:00,1800
relation/4517007_sunday,06:00:00,19:00:00,1800
relation/4517118_weekday_peak1,05:00:00,08:30:00,300
relation/4517118_weekday_offpeak,08:30:00,15:00:00,900
relation/4517118_weekday_peak2,15:00:00,21:00:00,300
relation/4517118_saturday,05:00:00,19:00:00,1800
relation/4517118_sunday,06:00:00,19:00:00,1800
relation/4538797_weekday_peak1,05:00:00,08:30:00,300
relation/4538797_weekday_offpeak,08:30:00,15:00:00,900
relation/4538797_weekday_peak2,15:00:00,21:00:00,300
relation/4538797_saturday,05:00:00,19:00:00,1800
relation/4538797_sunday,06:00:00,19:00:00,1800
relation/4540480_weekday_peak1,05:00:00,08:30:00,300
relation/4540480_weekday_offpeak,08:30:00,15:00:00,900
relation/4540480_weekday_peak2,15:00:00,21:00:00,300
relation/4540480_saturday,05:00:00,19:00:00,1800
relation/4540480_sunday,06:00:00,19:00:00,1800
relation/4540481_weekday_peak1,05:00:00,08:30:00,300
relation/4540481_weekday_offpeak,08:30:00,15:00:00,900
relation/4540481_weekday_peak2,15:00:00,21:00:00,300
relation/4540481_saturday,05:00:00,19:00:00,1800
relation/4540481_sunday,06:00:00,19:00:00,1800
relation/4540482_weekday_peak1,05:00:00,08:30:00,300
relation/4540482_weekday_offpeak,08:30:00,15:00:00,900
relation/4540482_weekday_peak2,15:00:00,21:00:00,300
relation/4540482_saturday,05:00:00,19:00:00,1800
relation/4540482_sunday,06:00:00,19:00:00,1800
relation/4543758_weekday_peak1,05:00:00,08:30:00,300
relation/4543758_weekday_offpeak,08:30:00,15:00:00,900
relation/4543758_weekday_peak2,15:00:00,21:00:00,300
relation/4543758_saturday,05:00:00,19:00:00,1800
relation/4543758_sunday,06:00:00,19:00:00,1800
relation/4543759_weekday_peak1,05:00:00,08:30:00,300
relation/4543759_weekday_offpeak,08:30:00,15:00:00,900
relation/4543759_weekday_peak2,15:00:00,21:00:00,300
relation/4543759_saturday,05:00:00,19:00:00,1800
relation/4543759_sunday,06:00:00,19:00:00,1800
