route_id,service_id,trip_id
relation/4516346,weekday_peak1,relation/4516346_weekday_peak1
relation/4516346,weekday_offpeak,relation/4516346_weekday_offpeak
relation/4516346,weekday_peak2,relation/4516346_weekday_peak2
relation/4516346,saturday,relation/4516346_saturday
relation/4516346,sunday,relation/4516346_sunday
relation/4516347,weekday_peak1,relation/4516347_weekday_peak1
relation/4516347,weekday_offpeak,relation/4516347_weekday_offpeak
relation/4516347,weekday_peak2,relation/4516347_weekday_peak2
relation/4516347,saturday,relation/4516347_saturday
relation/4516347,sunday,relation/4516347_sunday
relation/4516469,weekday_peak1,relation/4516469_weekday_peak1
relation/4516469,weekday_offpeak,relation/4516469_weekday_offpeak
relation/4516469,weekday_peak2,relation/4516469_weekday_peak2
relation/4516469,saturday,relation/4516469_saturday
relation/4516469,sunday,relation/4516469_sunday
relation/4517007,weekday_peak1,relation/4517007_weekday_peak1
relation/4517007,weekday_offpeak,relation/4517007_weekday_offpeak
relation/4517007,weekday_peak2,relation/4517007_weekday_peak2
relation/4517007,saturday,relation/4517007_saturday
relation/4517007,sunday,relation/4517007_sunday
relation/4517118,weekday_peak1,relation/4517118_weekday_peak1
relation/4517118,weekday_offpeak,relation/4517118_weekday_offpeak
relation/4517118,weekday_peak2,relation/4517118_weekday_peak2
relation/4517118,saturday,relation/4517118_saturday
relation/4517118,sunday,relation/4517118_sunday
relation/4538797,weekday_peak1,relation/4538797_weekday_peak1
relation/4538797,weekday_offpeak,relation/4538797_weekday_offpeak
relation/4538797,weekday_peak2,relation/4538797_weekday_peak2
relation/4538797,saturday,relation/4538797_saturday
relation/4538797,sunday,relation/4538797_sunday
relation/4540480,weekday_peak1,relation/4540480_weekday_peak1
relation/4540480,weekday_offpeak,relation/4540480_weekday_offpeak
relation/4540480,weekday_peak2,relation/4540480_weekday_peak2
relation/4540480,saturday,relation/4540480_saturday
relation/4540480,sunday,relation/4540480_sunday
relation/4540481,weekday_peak1,relation/4540481_weekday_peak1
relation/4540481,weekday_offpeak,relation/4540481_weekday_offpeak
relation/4540481,weekday_peak2,relation/4540481_weekday_peak2
relation/4540481,saturday,relation/4540481_saturday
relation/4540481,sunday,relation/4540481_sunday
relation/4540482,weekday_peak1,relation/4540482_weekday_peak1
relation/4540482,weekday_offpeak,relation/4540482_weekday_offpeak
relation/4540482,weekday_peak2,relation/4540482_weekday_peak2
relation/4540482,saturday,relation/4540482_saturday
relation/4540482,sunday,relation/4540482_sunday
relation/4543758,weekday_peak1,relation/4543758_weekday_peak1
relation/4543758,weekday_offpeak,relation/4543758_weekday_offpeak
relation/4543758,weekday_peak2,relation/4543758_weekday_peak2
relation/4543758,saturday,relation/4543758_saturday
relation/4543758,sunday,relation/4543758_sunday
relation/4543759,weekday_peak1,relation/4543759_weekday_peak1
relation/4543759,weekday_offpeak,relation/4543759_weekday_offpeak
relation/4543759,weekday_peak2,relation/4543759_weekday_peak2
relation/4543759,saturday,relation/4543759_saturday
relation/4543759,sunday,relation/4543759_sunday
